price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
9500,2005,ram,good,8 cylinders,gas,113275,clean,automatic,4wd,full-size,truck,silver,fl
8865,2013,volkswagen,excellent,5 cylinders,gas,62166,rebuilt,automatic,fwd,mid-size,sedan,brown,nc
7995,2007,toyota,excellent,4 cylinders,gas,134784,clean,automatic,4wd,full-size,SUV,silver,ny
27990,2011,ford,good,6 cylinders,diesel,123622,clean,automatic,rwd,full-size,truck,white,ut
3000,2004,lexus,excellent,6 cylinders,gas,191481,clean,automatic,fwd,mid-size,sedan,silver,il
6995,2016,nissan,excellent,4 cylinders,gas,82051,clean,automatic,fwd,compact,hatchback,white,ks
36900,2018,toyota,excellent,6 cylinders,gas,43194,clean,automatic,fwd,full-size,truck,silver,co
8950,2005,lexus,excellent,8 cylinders,gas,235406,clean,automatic,4wd,full-size,SUV,silver,mn
3895,1998,nissan,good,6 cylinders,gas,128993,clean,automatic,fwd,mid-size,mini-van,blue,ks
12288,2009,gmc,good,8 cylinders,gas,197484,clean,automatic,4wd,full-size,SUV,custom,co
7995,2014,chevrolet,excellent,4 cylinders,gas,81453,clean,automatic,fwd,full-size,sedan,brown,mi
2500,2001,ford,fair,6 cylinders,gas,96576,salvage,automatic,4wd,mid-size,truck,blue,me
11900,2013,toyota,excellent,4 cylinders,gas,53415,clean,automatic,fwd,mid-size,sedan,black,sc
8995,2015,volkswagen,like new,4 cylinders,gas,121900,clean,automatic,fwd,mid-size,sedan,blue,oh
1,2014,mercedes-benz,excellent,10 cylinders,gas,48433,clean,other,4wd,mid-size,coupe,black,fl
15950,2013,ford,excellent,4 cylinders,gas,89802,clean,automatic,fwd,mid-size,SUV,white,ca
16999,2006,ford,excellent,8 cylinders,diesel,182424,clean,automatic,rwd,full-size,truck,white,ks
19500,2000,ford,good,8 cylinders,diesel,196156,clean,automatic,4wd,full-size,SUV,green,wa
45900,2017,ford,excellent,8 cylinders,gas,26679,clean,automatic,4wd,full-size,other,white,ny
38900,2017,toyota,excellent,6 cylinders,gas,73000,clean,automatic,4wd,full-size,SUV,grey,tn
120000,2005,ferrari,like new,8 cylinders,gas,35498,clean,other,rwd,full-size,convertible,red,ma
18800,2007,ford,excellent,8 cylinders,diesel,205110,clean,automatic,4wd,full-size,truck,white,fl
7995,2012,dodge,like new,6 cylinders,gas,160440,clean,automatic,fwd,full-size,van,silver,nc
13500,1993,mitsubishi,excellent,6 cylinders,gas,90015,clean,manual,4wd,full-size,hatchback,red,tx
14495,2009,gmc,excellent,8 cylinders,gas,179500,clean,automatic,4wd,full-size,SUV,black,wi
13900,1994,chevrolet,good,8 cylinders,gas,144848,clean,automatic,rwd,full-size,truck,red,il
20980,2013,infiniti,excellent,8 cylinders,gas,132559,clean,automatic,rwd,full-size,SUV,black,tx
8800,2008,toyota,excellent,6 cylinders,gas,202000,clean,automatic,fwd,full-size,SUV,red,tx
31455,2019,gmc,excellent,8 cylinders,gas,19567,clean,automatic,rwd,full-size,van,white,va
33900,2019,gmc,like new,8 cylinders,gas,24585,clean,automatic,rwd,full-size,van,white,tn
53900,2016,gmc,excellent,8 cylinders,diesel,95000,clean,automatic,4wd,full-size,truck,red,nc
9495,2012,hyundai,excellent,4 cylinders,gas,105119,clean,manual,fwd,mid-size,sedan,grey,nv
85,2010,honda,good,4 cylinders,gas,131693,clean,automatic,fwd,mid-size,coupe,black,fl
14448,2014,honda,excellent,4 cylinders,gas,96927,clean,automatic,fwd,compact,coupe,blue,id
9800,2015,honda,excellent,4 cylinders,gas,83079,clean,automatic,fwd,compact,sedan,silver,nj
23995,2018,subaru,like new,4 cylinders,gas,24299,clean,automatic,4wd,full-size,SUV,white,ny
7995,2013,toyota,excellent,4 cylinders,hybrid,138450,clean,automatic,fwd,mid-size,hatchback,white,dc
14988,2015,cadillac,good,4 cylinders,gas,85005,clean,automatic,rwd,compact,sedan,silver,or
29995,2017,nissan,good,6 cylinders,gas,16835,clean,other,rwd,mid-size,coupe,blue,mi
20990,2010,ram,good,8 cylinders,gas,121850,clean,automatic,4wd,full-size,truck,black,va
20995,2011,toyota,excellent,6 cylinders,gas,149512,clean,automatic,4wd,mid-size,truck,grey,pa
